case_number,service_type,opened_date_time,support_plan,account_type,severity,technology_level_1,technology_level_2,technology_level_3,assignment_group,assignment_count,meaningful_comm_count,first_meaningful_comm_duration_mins,all_avg_meaningful_comm_duration_mins,case_origination_source,case_origination_user_type,case_origination_day,case_origination_time,severity_change,age_of_account_days,life_time_invoice_usd,recurring_invoice_usd,case_duration_days,country
cs0001,technical,10/26/2018,standard,subscription,2,level_1_1,level_2_24,level_3_97,group_2,0,4,16.35,3931.8249,source_11,customer,weekday,non_prime_time,no,,6256.85,,375.8707334,peru
cs0002,technical,5/13/2019,standard,subscription,2,level_1_2,level_2_2,level_3_49,group_3,0,4,23.3496,469.95,source_3,customer,weekday,non_prime_time,no,,,,176.7988816,japan
cs0003,technical,7/23/2019,premium,payg,3,level_1_3,level_2_11,level_3_137,group_4,0,16,3.8166,186.3,source_5,customer,weekday,prime_time,no,1688.083118,6942275.51,108025.18,105.3401779,united states of america
cs0004,non technical,1/12/2018,free,lite,4,level_1_7,level_2_20,level_3_5,group_13,1,4,9.2496,82269.3624,source_11,customer,weekday,non_prime_time,no,,,,662.9299927,philippines
cs0005,,5/10/2018,premium,subscription,2,,level_2_24,level_3_49,group_30,0,2,54.3996,702.5166,source_1,employee,weekday,prime_time,no,,619.61,,544.4334649,united states of america
cs0006,non technical,8/14/2019,basic,payg,3,level_1_7,level_2_20,level_3_23,group_13,1,3,62.3832,4350.511,source_6,employee,weekday,prime_time,no,,204.04,,83.28455289,uruguay
cs0007,technical,9/3/2019,standard,subscription,2,level_1_5,level_2_10,level_3_80,group_6,0,4,109.5996,4611.12495,source_3,customer,weekday,non_prime_time,no,,0,,63.9544603,japan
cs0008,technical,10/11/2018,standard,subscription,1,level_1_2,level_2_24,level_3_59,group_3,0,5,10.5666,240.97656,source_11,customer,weekday,prime_time,no,,0,,390.7390205,japan
cs0009,technical,6/13/2019,standard,payg,3,level_1_3,level_2_11,level_3_137,group_4,0,3,0.0666,3503.6832,source_5,employee,weekday,prime_time,no,,607650.2,,145.2611964,switzerland
cs00010,non technical,1/5/2019,basic,payg,4,level_1_7,level_2_20,level_3_23,group_13,0,3,0.0828,2469.6276,source_5,employee,weekend,prime_time,no,,0,,304.3708955,canada
cs00011,technical,12/9/2018,free,lite,4,level_1_2,level_2_2,level_3_49,group_3,0,2,561.8496,346.3164,source_3,customer,weekend,prime_time,no,,,,331.7412659,russian federation
cs00012,technical,5/14/2019,free,lite,4,level_1_2,level_2_24,level_3_59,group_3,1,7,1663.65,1221.085714,source_3,customer,weekday,prime_time,no,,,,175.3982797,united states of america
cs00013,non technical,9/19/2019,free,payg,4,level_1_7,level_2_20,level_3_137,group_13,0,10,475.833,4210.7433,source_3,customer,weekday,prime_time,no,,187,,47.61218021,united kingdom
cs00014,non technical,8/4/2018,free,payg,4,level_1_7,level_2_20,level_3_23,group_13,1,1,4455.8832,4455.8832,source_10,customer,weekend,non_prime_time,no,,,,458.7957797,unspecified
cs00015,technical,3/22/2019,standard,subscription,4,level_1_2,level_2_2,level_3_64,group_3,0,5,160.683,1293.95328,source_3,customer,weekday,non_prime_time,no,799.0831177,0,0,229.0283723,japan
cs00016,non technical,8/21/2018,basic,payg,4,level_1_7,level_2_20,level_3_23,group_13,4,1,97429.4664,97429.4664,source_11,customer,weekday,prime_time,no,,0,,441.6925043,netherlands
cs00017,non technical,11/15/2017,basic,payg,4,level_1_7,level_2_20,level_3_137,group_13,0,,0,0,source_11,customer,weekday,non_prime_time,no,,0,,721.0146223,mexico
