case_number,sentiment_overall,anger_overall,disgust_overall,fear_overall,joy_overall,sadness_overall,sentiment_conversation_last3,anger_sentiment_last3,disgust_sentiment_last3,fear_sentiment_last3,joy_sentiment_last3,sadness_sentiment_last3,sentiment_conversation_last,anger_conversation_last,disgust_conversation_last,fear_conversation_last,joy_conversation_last,sadness_conversation_last
cs0003230,,,,,,,,,,,,,,,,,,
cs0001378,,,,,,,,,,,,,,,,,,
cs0001480,0.544811,0.02216,0.010499,0.009577,0.342892,0.268286,0.544811,0.02216,0.010499,0.009577,0.342892,0.268286,-0.580763,0.067375,0.041635,0.07128,0.096182,0.757099
cs000389,,,,,,,,,,,,,,,,,,
cs000161,0.512768,0.44397,0.054234,0.053369,0.136237,0.505716,0.486802,0.475768,0.064998,0.039005,0.049977,0.619187,0.83929,0.10201,0.023498,0.013776,0.029261,0.17058
cs0001864,0.985887,0.056649,0.055911,0.047229,0.553891,0.102281,0.985887,0.056649,0.055911,0.047229,0.553891,0.102281,0,0.126282,0.201791,0.038759,0.041991,0.195502
cs0002923,,,,,,,,,,,,,,,,,,
cs000412,0.558706,0.420269,0.032818,0.466517,0.625333,0.170982,0.558706,0.420269,0.032818,0.466517,0.625333,0.170982,0.749417,0.017112,0.020824,0.015704,0.125145,0.154781
cs0002264,0.660247,0.020108,0.032403,0.007729,0.025738,0.034918,0.660247,0.020108,0.032403,0.007729,0.025738,0.034918,0.660247,0.020108,0.032403,0.007729,0.025738,0.034918
cs0002106,0.931715,0.233926,0.120509,0.021675,0.229054,0.006961,0.931715,0.233926,0.120509,0.021675,0.229054,0.006961,0.931715,0.233926,0.120509,0.021675,0.229054,0.006961
cs0001743,0.877446,0.061968,0.013687,0.022992,0.133397,0.096379,0.877446,0.061968,0.013687,0.022992,0.133397,0.096379,0.877446,0.061968,0.013687,0.022992,0.133397,0.096379
cs0002906,,,,,,,,,,,,,,,,,,
cs0002980,-0.39183,0.104359,0.037178,0.090125,0.138158,0.542817,-0.39183,0.198498,0.011782,0.040795,0.024786,0.22112,0,0.015884,0.017077,0.013347,0.116912,0.034317
cs000192,,,,,,,,,,,,,,,,,,
cs0002289,,,,,,,,,,,,,,,,,,
cs0002525,0.729494,,,,,,0.988105,0.038141,0.022784,0.030054,0.140287,0.125203,0.988105,0.030893,0.017813,0.023824,0.121529,0.116548
cs0001249,,,,,,,,,,,,,,,,,,
cs000766,,,,,,,,,,,,,,,,,,
cs0002801,,,,,,,,,,,,,,,,,,
cs000180,,,,,,,,,,,,,,,,,,
cs000556,0.435632,0.080346,0.075178,0.091785,0.20934,0.561035,0.450652,0.08727,0.043304,0.060127,0.182035,0.581974,0.907661,0.01743,0.015596,0.007797,0.292188,0.033964
cs000652,,,,,,,,,,,,,,,,,,
cs0002609,0.749224,0.039629,0.015291,0.047702,0.673596,0.510568,0.701808,0.049183,0.019795,0.060886,0.704738,0.529852,0.966975,0.031461,0.057256,0.041622,0.080197,0.628463
cs0001682,,,,,,,,,,,,,,,,,,
cs000704,,,,,,,,,,,,,,,,,,
cs0003260,,,,,,,,,,,,,,,,,,
cs0002035,0.986158,0.009252,0.002466,0.004369,0.609418,0.013481,0.986158,0.009252,0.002466,0.004369,0.609418,0.013481,0.986158,0.009252,0.002466,0.004369,0.609418,0.013481
cs0001222,0.753047,0.497826,0.049157,0.052651,0.629083,0.479745,0.753047,0.497826,0.049157,0.052651,0.629083,0.479745,0.836563,0.230653,0.012049,0.008599,0.040576,0.102525
cs0001897,,,,,,,,,,,,,,,,,,
cs0003341,,,,,,,,,,,,,,,,,,
cs0002730,0.396274,0.012912,0.012422,0.008773,0.152676,0.109173,0.396274,0.012912,0.012422,0.008773,0.152676,0.109173,0.995601,0.008872,0.012274,0.01073,0.760076,0.00507
cs0002564,,,,,,,,,,,,,,,,,,
cs000564,,,,,,,,,,,,,,,,,,
cs000446,0.580465,0.067384,0.047558,0.05153,0.509629,0.135188,0.989034,0.009854,0.005772,0.001125,0.318789,0.005986,0.955235,0.035946,0.010089,0.013477,0.668895,0.016871
cs000544,,,,,,,,,,,,,,,,,,
cs0002757,0,0.04524,0.038318,0.020132,0.031303,0.058236,0,0.04524,0.038318,0.020132,0.031303,0.058236,0,0.04524,0.038318,0.020132,0.031303,0.058236
cs0001537,,,,,,,,,,,,,,,,,,
cs0001565,,,,,,,,,,,,,,,,,,
cs000282,0.438931,0.02949,0.007995,0.031507,0.043423,0.04752,0.438931,0.02949,0.007995,0.031507,0.043423,0.04752,0.429852,0.028566,0.00774,0.028935,0.049543,0.030465
cs0001730,0,0.015884,0.017077,0.013347,0.116912,0.034317,0,0.015884,0.017077,0.013347,0.116912,0.034317,0,0.015884,0.017077,0.013347,0.116912,0.034317
cs0003072,,,,,,,,,,,,,,,,,,
cs00082,,,,,,,,,,,,,,,,,,
cs0002767,,,,,,,,,,,,,,,,,,
