case_id,likelihood_to_recommend,ticket_open_date,support_plan,account_type,sr_severity,technology_level_1,technology_level_2,technology_level_3,assignment_count,meaningful_comm_count,first_meaningful_comm_duration_mins,all_avg_meaningful_comm_duration_mins,case_origination_source,case_origination_user_type,dayofweek,timewindow,severity_change,age_of_account_days,life_time_spend_usd,monthly_recurring_revenue_usd,ticket_duration_days,tribe_level_1,tribe_level_2,catalog_name,sentiment_overall,anger_overall,disgust_overall,fear_overall,joy_overall,sadness_overall,sentiment_last3_conversation,anger_sentiment_last3,disgust_sentiment_last3,fear_sentiment_last3,joy_sentiment_last3,sadness_sentiment_last3,sentiment_last_conversation,anger_last_conversation,disgust_last_conversation,fear_last_conversation,joy_last_conversation,sadness_last_conversation,sentiment_short_description,anger_short_description,disgust_short_description,fear_short_description,joy_short_description,sadness_short_description,sentiment_description,anger_description,disgust_description,fear_description,joy_description,sadness_description,country,geography,region
cs0000001,1,12/2/2019,support_tier_2,account_type_1,4,technical,assignment_group_2,technology_level_3_4,0,2,13,6,case_origination_source_1,case_origination_user_type_1,weekday,non_prime_time,no,,,,7,tribe_level_1_3,tribe_level_2_2,catalog_level_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,united states of america,am,us
cs0000002,1,12/1/2019,support_tier_2,account_type_1,4,technical,assignment_group_2,technology_level_3_3,0,6,30,596,case_origination_source_1,case_origination_user_type_1,weekend,non_prime_time,no,,,,8,tribe_level_1_2,tribe_level_2_3,catalog_level_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,france,ep,france
cs0000003,1,12/1/2019,support_tier_1,account_type_2,4,technical,assignment_group_3,technology_level_3_2,0,2,0,1,case_origination_source_2,case_origination_user_type_2,weekend,prime_time,no,836,4203,215,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,peru,la,latin america
cs0000004,0,11/28/2019,support_tier_1,account_type_2,4,technical,assignment_group_3,technology_level_3_2,0,2,54,27,case_origination_source_1,case_origination_user_type_1,weekday,prime_time,no,1825,5075,220,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,italy,ep,italy
cs0000005,1,11/27/2019,support_tier_1,account_type_2,4,technical,assignment_group_3,technology_level_3_2,0,4,16,19,case_origination_source_1,case_origination_user_type_1,weekday,prime_time,no,,0,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,united states of america,am,us
cs0000006,1,11/27/2019,support_tier_4,account_type_2,4,customer support,assignment_group_1,technology_level_3_1,0,1,509,509,case_origination_source_3,case_origination_user_type_1,weekday,prime_time,no,,,,12,tribe_level_1_1,tribe_level_2_1,catalog_level_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,united states of america,am,us
cs0000007,1,11/27/2019,support_tier_2,account_type_1,4,customer support,assignment_group_1,technology_level_3_1,0,1,666,666,case_origination_source_1,case_origination_user_type_1,weekday,prime_time,no,,,,12,tribe_level_1_1,tribe_level_2_1,catalog_level_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,italy,ep,italy
cs0000008,1,11/26/2019,support_tier_1,account_type_2,4,customer support,assignment_group_1,technology_level_3_1,0,2,10,6,case_origination_source_6,case_origination_user_type_2,weekday,prime_time,no,,0,,13,tribe_level_1_1,tribe_level_2_1,catalog_level_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,germany,ep,"dach germany,austria,switz"
cs0000009,1,11/26/2019,support_tier_4,account_type_3,2,technical,assignment_group_9,technology_level_3_78,0,4,1000,287,case_origination_source_1,case_origination_user_type_1,weekday,prime_time,no,,,,13,tribe_level_1_30,tribe_level_2_6,catalog_level_58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,japan,jn,japan
cs0000010,1,11/26/2019,support_tier_2,account_type_1,4,technical,assignment_group_6,technology_level_3_2,1,2,112,713,case_origination_source_1,case_origination_user_type_1,weekday,non_prime_time,no,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lithuania,ep,central and eastern europe
